,volume,market_cap,high,low,close,open,date,log_diff,target
76,729936.12774,729936.12774,142.0,132.39,140.42,134.73,28-07-2021 17:00:00,0.04136515582134681,1
77,607384.02252,607384.02252,135.12,127.27,134.74,131.06,27-07-2021 17:00:00,0.027691761921163405,1
78,1052092.77379,1052092.77379,140.47,126.85,131.06,127.64,26-07-2021 17:00:00,0.02644143220130779,1
79,392963.87036,392963.87036,127.99,123.51,127.68,126.0,25-07-2021 17:00:00,0.013245226750020933,1
80,432891.78019,432891.78019,127.7,123.29,125.99,124.27,24-07-2021 17:00:00,0.013745920904635334,1
81,404160.06952,404160.06952,124.78,117.02,124.24,120.69,23-07-2021 17:00:00,0.02898990421062475,1
82,464759.47146,464759.47146,122.0,115.61,120.67,117.77,22-07-2021 17:00:00,0.024325977232052765,1
83,682039.47283,682039.47283,119.24,105.05,117.74,107.31,21-07-2021 17:00:00,0.09275696166107927,1
84,682039.47283,682039.47283,119.24,105.05,117.74,107.31,21-07-2021 17:00:00,0.09275696166107927,1
85,766236.24738,766236.24738,115.09,103.83,107.29,113.14,20-07-2021 17:00:00,-0.053090541266354485,0
86,766236.24738,766236.24738,115.09,103.83,107.29,113.14,20-07-2021 17:00:00,-0.053090541266354485,0
87,493082.96266,493082.96266,120.75,111.82,113.13,119.16,19-07-2021 17:00:00,-0.05192952790670624,0
88,493082.96266,493082.96266,120.75,111.82,113.13,119.16,19-07-2021 17:00:00,-0.05192952790670624,0
89,430985.21457,430985.21457,124.05,116.23,119.17,120.0,18-07-2021 17:00:00,-0.006940697679331365,0
90,430985.21457,430985.21457,124.05,116.23,119.17,120.0,18-07-2021 17:00:00,-0.006940697679331365,0
91,425298.69428,425298.69428,122.92,117.68,119.95,120.66,17-07-2021 17:00:00,-0.0059016837269121325,0
92,422183.01506,422183.01506,127.87,120.38,120.65,125.88,16-07-2021 17:00:00,-0.042435280125165065,0
93,494375.7243,494375.7243,133.13,121.93,125.86,131.06,15-07-2021 17:00:00,-0.04048505551256287,0
94,538916.43958,538916.43958,132.42,123.59,131.07,131.45,14-07-2021 17:00:00,-0.0028950195444359395,0
95,454856.67168,454856.67168,134.61,129.35,131.44,133.32,13-07-2021 17:00:00,-0.014201779710526274,0
96,670917.62355,670917.62355,139.75,131.82,133.38,134.28,12-07-2021 17:00:00,-0.006724974907673875,0
97,324968.57149,324968.57149,136.48,132.08,134.28,133.99,11-07-2021 17:00:00,0.0021620018113175377,1
98,365844.86832,365844.86832,136.82,130.32,133.99,134.54,10-07-2021 17:00:00,-0.004096382296943091,0
99,527547.82163,527547.82163,135.85,126.0,134.58,132.11,09-07-2021 17:00:00,0.018523908869910066,1
100,645442.57112,645442.57112,137.74,127.77,132.15,137.38,08-07-2021 17:00:00,-0.038813167735437304,0
101,520913.20131,520913.20131,142.93,136.87,137.41,138.86,07-07-2021 17:00:00,-0.01049707398144406,0
102,530800.52733,530800.52733,142.73,135.6,138.87,137.76,06-07-2021 17:00:00,0.0080252030318686,1
103,561680.84949,561680.84949,145.03,133.84,137.71,144.96,05-07-2021 17:00:00,-0.05130781755563518,0
104,443949.92264,443949.92264,148.1,136.88,144.95,140.19,04-07-2021 17:00:00,0.03339020998722031,1
105,467041.14947,467041.14947,138.97,130.6,136.85,137.01,02-07-2021 17:00:00,-0.001168480378328951,0
106,467041.14947,467041.14947,138.97,130.6,136.85,137.01,02-07-2021 17:00:00,-0.001168480378328951,0
107,539535.2997,539535.2997,144.31,133.99,137.02,144.31,01-07-2021 17:00:00,-0.05183686287323308,0
108,539535.2997,539535.2997,144.31,133.99,137.02,144.31,01-07-2021 17:00:00,-0.05183686287323308,0
109,629619.41847,629619.41847,146.94,136.01,144.26,144.23,30-06-2021 17:00:00,0.00020797948010820022,1
110,629619.41847,629619.41847,146.94,136.01,144.26,144.23,30-06-2021 17:00:00,0.00020797948010820022,1
111,898148.69711,898148.69711,149.18,137.24,144.2,137.68,29-06-2021 17:00:00,0.04626907294756499,1
112,703645.47159,703645.47159,139.55,129.89,137.69,132.57,28-06-2021 17:00:00,0.03789397364552283,1
113,703645.47159,703645.47159,139.55,129.89,137.69,132.57,28-06-2021 17:00:00,0.03789397364552283,1
114,573388.24688,573388.24688,132.67,124.66,132.6,126.81,27-06-2021 17:00:00,0.044647174504953924,1
115,871924.09227,871924.09227,129.44,118.67,126.89,125.03,26-06-2021 17:00:00,0.014766860901914924,1
116,764515.33892,764515.33892,138.45,124.31,125.0,134.59,25-06-2021 17:00:00,-0.07391938294332245,0
117,660335.54019,660335.54019,137.36,123.71,134.58,129.13,24-06-2021 17:00:00,0.04133916890161249,1
118,1020444.64312,1020444.64312,133.75,115.49,129.1,119.69,23-06-2021 17:00:00,0.07568223096731774,1
119,2255757.11457,2255757.11457,133.03,104.92,119.64,124.38,22-06-2021 17:00:00,-0.03885416191399571,0
120,2255757.11457,2255757.11457,133.03,104.92,119.64,124.38,22-06-2021 17:00:00,-0.03885416191399571,0
121,1492819.3793,1492819.3793,155.5,123.91,124.46,154.87,21-06-2021 17:00:00,-0.21860167618701176,0
122,1492819.3793,1492819.3793,155.5,123.91,124.46,154.87,21-06-2021 17:00:00,-0.21860167618701176,0
123,611253.37603,611253.37603,156.18,143.75,154.88,152.51,20-06-2021 17:00:00,0.015420455860174265,1
124,523073.02283,523073.02283,160.88,152.31,152.49,156.33,19-06-2021 17:00:00,-0.024870137462311703,0
125,800699.30384,800699.30384,167.43,151.2,156.34,167.13,18-06-2021 17:00:00,-0.06673882990864932,0
126,559434.62367,559434.62367,173.4,162.81,167.08,166.56,17-06-2021 17:00:00,0.0031171347623155654,1
127,761479.45263,761479.45263,177.31,164.23,166.57,175.16,16-06-2021 17:00:00,-0.05028420044418169,0
128,761479.45263,761479.45263,177.31,164.23,166.57,175.16,16-06-2021 17:00:00,-0.05028420044418169,0
129,654352.05304,654352.05304,181.2,172.15,175.15,179.88,15-06-2021 17:00:00,-0.0266472122590109,0
130,802051.95645,802051.95645,179.99,166.34,179.89,170.85,14-06-2021 17:00:00,0.05155957441329395,1
131,573493.90783,573493.90783,171.59,156.42,170.85,161.81,13-06-2021 17:00:00,0.05436317114958378,1
132,653167.31003,653167.31003,164.3,154.14,161.8,162.84,12-06-2021 17:00:00,-0.006407119010386708,0
133,653167.31003,653167.31003,164.3,154.14,161.8,162.84,12-06-2021 17:00:00,-0.006407119010386708,0
134,928611.54446,928611.54446,173.78,160.55,162.83,168.18,11-06-2021 17:00:00,-0.0323281226286225,0
135,878866.63371,878866.63371,174.61,162.12,168.16,172.54,10-06-2021 17:00:00,-0.025713186519791265,0
136,1139739.36054,1139739.36054,173.3,152.31,172.56,160.64,09-06-2021 17:00:00,0.0715791655775373,1
137,1417289.87647,1417289.87647,164.48,144.89,160.63,161.92,08-06-2021 17:00:00,-0.007998802529425753,0
138,1035822.82509,1035822.82509,182.22,160.25,161.95,176.42,07-06-2021 17:00:00,-0.08557987021328284,0
139,677386.36378,677386.36378,179.96,172.02,176.41,172.95,06-06-2021 17:00:00,0.01980829592513711,1
140,846082.98073,846082.98073,185.49,167.32,172.94,178.46,05-06-2021 17:00:00,-0.03141977293972076,0
141,1130262.18071,1130262.18071,193.81,168.95,178.44,193.52,04-06-2021 17:00:00,-0.08112845604170804,0
142,1079806.82442,1079806.82442,197.78,181.95,193.5,187.18,03-06-2021 17:00:00,0.03320679174072616,1
143,976844.03214,976844.03214,191.34,178.27,187.14,183.05,02-06-2021 17:00:00,0.022097660281521492,1
144,1081241.44408,1081241.44408,193.16,175.82,182.99,188.01,01-06-2021 17:00:00,-0.027063646365098393,0
145,1242054.05369,1242054.05369,188.5,163.5,187.97,170.48,31-05-2021 17:00:00,0.09766438783814291,1
146,1123365.50693,1123365.50693,181.1,155.11,170.51,164.04,30-05-2021 17:00:00,0.03868364550620207,1
147,1554075.0432,1554075.0432,188.69,157.65,164.01,177.3,29-05-2021 17:00:00,-0.07791581150514482,0
148,2118247.13851,2118247.13851,198.88,165.5,177.33,194.31,28-05-2021 17:00:00,-0.0914424183585476,0
149,1457775.38448,1457775.38448,209.0,180.39,194.32,198.92,27-05-2021 17:00:00,-0.023396449152620846,0
150,1457775.38448,1457775.38448,209.0,180.39,194.32,198.92,27-05-2021 17:00:00,-0.023396449152620846,0
151,1540975.47323,1540975.47323,204.13,179.42,198.91,183.89,26-05-2021 17:00:00,0.07851470836420749,1
152,1974384.43463,1974384.43463,194.61,167.15,183.76,185.32,25-05-2021 17:00:00,-0.008453502167604654,0
153,2491240.93285,2491240.93285,185.37,139.54,185.32,142.52,24-05-2021 17:00:00,0.2626017198108128,1
154,3854006.12408,3854006.12408,176.26,118.03,142.39,169.3,23-05-2021 17:00:00,-0.17310251734618642,0
155,1983438.52337,1983438.52337,184.44,161.61,169.32,179.97,22-05-2021 17:00:00,-0.060999754680389096,0
156,2998819.79591,2998819.79591,219.12,156.56,179.97,210.66,21-05-2021 17:00:00,-0.15745528907528428,0
157,2998819.79591,2998819.79591,219.12,156.56,179.97,210.66,21-05-2021 17:00:00,-0.15745528907528428,0
158,4269465.92695,4269465.92695,225.0,166.45,210.74,186.31,20-05-2021 17:00:00,0.1232131931391196,1
159,6731555.34383,6731555.34383,300.31,147.0,185.93,293.98,19-05-2021 17:00:00,-0.45814147902186964,0
160,6731555.34383,6731555.34383,300.31,147.0,185.93,293.98,19-05-2021 17:00:00,-0.45814147902186964,0
