,volume,market_cap,high,low,close,open,date
149,1457775.38448,1457775.38448,209.0,180.39,194.32,198.92,27-05-2021 17:00:00
150,1457775.38448,1457775.38448,209.0,180.39,194.32,198.92,27-05-2021 17:00:00
151,1540975.47323,1540975.47323,204.13,179.42,198.91,183.89,26-05-2021 17:00:00
152,1974384.43463,1974384.43463,194.61,167.15,183.76,185.32,25-05-2021 17:00:00
153,2491240.93285,2491240.93285,185.37,139.54,185.32,142.52,24-05-2021 17:00:00
154,3854006.12408,3854006.12408,176.26,118.03,142.39,169.3,23-05-2021 17:00:00
155,1983438.52337,1983438.52337,184.44,161.61,169.32,179.97,22-05-2021 17:00:00
156,2998819.79591,2998819.79591,219.12,156.56,179.97,210.66,21-05-2021 17:00:00
157,2998819.79591,2998819.79591,219.12,156.56,179.97,210.66,21-05-2021 17:00:00
158,4269465.92695,4269465.92695,225.0,166.45,210.74,186.31,20-05-2021 17:00:00
159,6731555.34383,6731555.34383,300.31,147.0,185.93,293.98,19-05-2021 17:00:00
160,6731555.34383,6731555.34383,300.31,147.0,185.93,293.98,19-05-2021 17:00:00
161,2558765.69804,2558765.69804,317.97,278.32,293.98,281.38,18-05-2021 17:00:00
162,2079261.84526,2079261.84526,296.34,261.27,281.53,295.89,17-05-2021 17:00:00
163,1693568.12752,1693568.12752,323.95,279.66,295.89,300.22,16-05-2021 17:00:00
164,1486176.50537,1486176.50537,332.0,296.17,300.3,326.24,15-05-2021 17:00:00
165,1482325.51445,1482325.51445,338.85,307.96,326.23,317.95,14-05-2021 17:00:00
166,2979065.55728,2979065.55728,332.73,291.0,317.95,310.4,13-05-2021 17:00:00
167,2537826.91562,2537826.91562,394.37,301.0,310.4,377.8,12-05-2021 17:00:00
168,2031121.35038,2031121.35038,379.72,345.0,377.6,358.93,11-05-2021 17:00:00
169,3830553.73813,3830553.73813,413.49,333.68,358.89,387.77,10-05-2021 17:00:00
170,2292100.05852,2292100.05852,389.0,333.51,387.8,347.17,09-05-2021 17:00:00
171,1327716.1907,1327716.1907,356.68,334.0,347.1,344.89,08-05-2021 17:00:00
172,2822668.46597,2822668.46597,374.5,333.33,344.89,354.52,07-05-2021 17:00:00
173,2752093.00755,2752093.00755,364.93,318.0,354.67,356.03,06-05-2021 17:00:00
174,3748897.98686,3748897.98686,360.0,300.52,356.04,305.24,05-05-2021 17:00:00
175,3939316.56899,3939316.56899,327.68,270.0,305.23,294.73,04-05-2021 17:00:00
