,Date,timestamp,Close,target,Unnamed: 0,date,close,target,VEC.timestamp,VEC.COINJOURNA.text_COUNT_last1days:bitcoin,VEC.COINJOURNA.text_last1days:bitcoin
512,28-5-2021 23:58:0,1622246280.0,1.511631662,0,512.0,04-08-2021 17:00:00,39723.18,1.0,1628096400.0,5.0,"['#business #bitcoin luxury chopper maker accepts bitcoin payments with coincorner', '#markets #etoro where to buy cashcow finance: ccf clocks 150% daily gains', 'markets the best places to buy alchemy pay tokens todays hottest cryptocurrency', '#markets #etoro where to buy baby shark as it bounces 128% from monday low', '#markets #etoro where to buy origo: ogo leads market with 333% surge']"
513,29-5-2021 23:58:0,1622332680.0,1.402885048,0,513.0,05-08-2021 17:00:00,40862.46,1.0,1628182800.0,7.0,"['#markets #etoro where to buy aave: aave rallies 16%, breaks monthly high', '#markets #etoro the best places to buy exp world holdings stock after it surges 30%', '#markets #etoro where to buy metamoon: metamoon has done 2x today', '#markets #bitcoin bitcoin price analysis: btc sees fresh dips below 39k', '#crime #bitcoin russian federal agency working on a bitcoin tracking tool', '#markets #etoro truefi spikes 435% after raising 12_5 million: where to buy tru', '#business #bitcoin grayscale hires former alerian ceo to strengthen etf team']"
514,30-5-2021 23:58:0,1622419080.0,1.573209891,1,514.0,06-08-2021 17:00:00,42836.87,1.0,1628269200.0,7.0,"['#markets alchemy pay tokens up 2,300% in a week: here is where to buy them', '#markets #etoro theta price rises 18% on metamask news: where to buy theta', '#markets #etoro swapcoinz rallies 6,600% on the day: where to buy spaz', '#policyandregulation #bitcoin shock as biden sides with tax plan that favours pow over pos', '#markets #etoro zeon network is up by over 1,000% today: where to buy zeon', 'markets bitcoin bofa views el salvadors btc adoption from a positive perspective', '#markets where to buy stafi tokens: fis coin price surges 130%']"
515,31-5-2021 23:58:0,1622505480.0,1.738168463,1,515.0,07-08-2021 17:00:00,44572.54,1.0,1628355600.0,0.0,[]
516,1-6-2021 23:58:0,1622591880.0,1.735764301,0,516.0,08-08-2021 17:00:00,43794.37,0.0,1628442000.0,0.0,[]
517,2-6-2021 23:58:0,1622678280.0,1.753498307,1,517.0,09-08-2021 17:00:00,46253.4,1.0,1628528400.0,7.0,"['#markets #etoro baby doge billionaire just keeps rising: 222% rally for babydb', '#markets #bitcoin bitcoin shakes off negative us crypto tax news, price hits 45,000', '#markets #bitcoin litecoin price analysis: ltc poised for a 26% upside towards 200', '#markets #etoro mozik sings with a triple-digit swing: where to buy moz', '#technology #bitcoin alchemy pay to launch virtual cards to enable easy crypto payments', '#markets #etoro where to buy psg: fan token surges 50% on messi rumours', '#markets #etoro where to buy binamars: new all-time high for bmars after 92% rally']"
518,3-6-2021 23:58:0,1622764680.0,1.840577622,1,518.0,10-08-2021 17:00:00,45584.99,0.0,1628614800.0,7.0,"['#business #usa circle plans to become a federally-chartered commercial bank', '#markets #bitcoin bitcoin records outflows for 5th consecutive week despite price surge', '#markets #etoro next-gen coin cartesi is up 94% this week: where to buy ctsi', '#markets #etoro where to buy internet computer? icp rises slowly but steadily with 12% gains in 24 hours', '#markets #etoro viral meme coin shoots up 24,000%: where to buy floki inu', '#markets #etoro where to buy triumphx: trix rallies 708%, breaks resistance', '#markets safemoon price analysis: bearish outlook amid low trading volume']"
519,4-6-2021 23:58:0,1622851080.0,1.711490818,0,519.0,10-08-2021 17:00:00,45584.99,0.0,1628614800.0,7.0,"['#business #usa circle plans to become a federally-chartered commercial bank', '#markets #bitcoin bitcoin records outflows for 5th consecutive week despite price surge', '#markets #etoro next-gen coin cartesi is up 94% this week: where to buy ctsi', '#markets #etoro where to buy internet computer? icp rises slowly but steadily with 12% gains in 24 hours', '#markets #etoro viral meme coin shoots up 24,000%: where to buy floki inu', '#markets #etoro where to buy triumphx: trix rallies 708%, breaks resistance', '#markets safemoon price analysis: bearish outlook amid low trading volume']"
520,5-6-2021 23:58:0,1622937480.0,1.657853743,0,520.0,11-08-2021 17:00:00,45511.0,0.0,1628701200.0,6.0,"['#business #bitcoin venmo customers to be able to buy crypto with their cash back', '#markets #etoro iotex surges 289% to new all-time high: where to buy iotx', '#markets #etoro axie infinity soars by 55%: where to buy axs?', 'markets bitcoin coinbase trading volume hits 462bn says 21q2 shareholder letter', '#markets #etoro where to buy ada? cardano rises 12% in 24 hours', '#markets #etoro where to buy bitrise: big boom for brise as it shoots up 482%']"
521,6-6-2021 23:58:0,1623023880.0,1.675012979,1,521.0,11-08-2021 17:00:00,45511.0,0.0,1628701200.0,6.0,"['#business #bitcoin venmo customers to be able to buy crypto with their cash back', '#markets #etoro iotex surges 289% to new all-time high: where to buy iotx', '#markets #etoro axie infinity soars by 55%: where to buy axs?', 'markets bitcoin coinbase trading volume hits 462bn says 21q2 shareholder letter', '#markets #etoro where to buy ada? cardano rises 12% in 24 hours', '#markets #etoro where to buy bitrise: big boom for brise as it shoots up 482%']"
