,Date,Close,log_diff,target
141,21-5-2020 23:58:0,0.0519612195,-0.08795708621868448,0
142,22-5-2020 23:58:0,0.05567210802,0.06898160632992356,1
143,23-5-2020 23:58:0,0.05484557066,-0.01495783806521489,0
144,24-5-2020 23:58:0,0.05133512857,-0.06614614449173173,0
145,25-5-2020 23:58:0,0.05378959482,0.046704758353032894,1
146,26-5-2020 23:58:0,0.05346636205,-0.006027334201025969,0
147,27-5-2020 23:58:0,0.0550978796,0.030058523230895418,1
148,28-5-2020 23:58:0,0.06471800098,0.16092815240702096,1
149,29-5-2020 23:58:0,0.06463866042,-0.0012266947691830232,0
150,30-5-2020 23:58:0,0.07688496387,0.17349763874732815,1
151,31-5-2020 23:58:0,0.07387564948,-0.039927061749872816,0
152,1-6-2020 23:58:0,0.08094668526,0.0914074639976028,1
153,2-6-2020 23:58:0,0.07865676824,-0.028697050309729466,0
154,3-6-2020 23:58:0,0.08531316521,0.08123510169927872,1
155,4-6-2020 23:58:0,0.08874056388,0.039388317541803275,1
156,5-6-2020 23:58:0,0.08494750864,-0.04368357990517202,0
157,6-6-2020 23:58:0,0.08605560678,0.012960157450229826,1
158,7-6-2020 23:58:0,0.08645693867,0.0046527933718887304,1
159,8-6-2020 23:58:0,0.08637664683,-0.0009291231856800586,0
160,9-6-2020 23:58:0,0.08288907603,-0.041214067355705986,0
161,10-6-2020 23:58:0,0.08356209109,0.008086680787635192,1
162,11-6-2020 23:58:0,0.07489253424,-0.10953575220054912,0
163,12-6-2020 23:58:0,0.07935817716,0.057917284272124725,1
164,13-6-2020 23:58:0,0.07897485014,-0.004842044334959272,0
165,14-6-2020 23:58:0,0.07628329099,-0.03467552577218802,0
166,15-6-2020 23:58:0,0.07820909013,0.02493195951565008,1
167,16-6-2020 23:58:0,0.07910139403,0.011344615391983837,1
168,17-6-2020 23:58:0,0.08328313246,0.05151553893276484,1
169,18-6-2020 23:58:0,0.08173468386,-0.018767598362011473,0
170,19-6-2020 23:58:0,0.0798068271,-0.023869385402103482,0
171,20-6-2020 23:58:0,0.07950010071,-0.003850764975987797,0
172,21-6-2020 23:58:0,0.07826958835,-0.015599160007650603,0
173,22-6-2020 23:58:0,0.08351404755,0.06485572339448575,1
174,23-6-2020 23:58:0,0.08266035881,-0.010274701970994116,0
175,24-6-2020 23:58:0,0.08242661451,-0.002831773476704047,0
176,25-6-2020 23:58:0,0.08151365875,-0.011137778161691259,0
177,26-6-2020 23:58:0,0.08045648718,-0.013054091870376539,0
178,27-6-2020 23:58:0,0.07725221351,-0.040640937140532074,0
179,28-6-2020 23:58:0,0.08009023653,0.03607838641529071,1
180,29-6-2020 23:58:0,0.08376807325,0.04489799178994103,1
181,30-6-2020 23:58:0,0.08300477544,-0.009153805860519615,0
182,1-7-2020 23:58:0,0.09670383066,0.1527548739687452,1
183,2-7-2020 23:58:0,0.09309689856,-0.03801214480057746,0
184,3-7-2020 23:58:0,0.09648911609,0.03578934462057193,1
185,4-7-2020 23:58:0,0.09995365746,0.035276437821428086,1
186,5-7-2020 23:58:0,0.0982474291,-0.017217569687462575,0
187,6-7-2020 23:58:0,0.1050311504,0.06676789314983855,1
188,7-7-2020 23:58:0,0.117625769,0.11325115897426707,1
189,8-7-2020 23:58:0,0.1301242979,0.10098199572940825,1
190,9-7-2020 23:58:0,0.1239628773,-0.04850798716939542,0
191,10-7-2020 23:58:0,0.1184566777,-0.04543483946832083,0
192,11-7-2020 23:58:0,0.125236431,0.05565609406524841,1
193,12-7-2020 23:58:0,0.1270129897,0.014085963563660986,1
194,13-7-2020 23:58:0,0.124182403,-0.02253788563889758,0
195,14-7-2020 23:58:0,0.1314907303,0.05718488042623093,1
196,15-7-2020 23:58:0,0.1304686504,-0.007803386034191284,0
